code	parent_code	kind	criterion_type	page_start	mandatory_guess	statement
2.1	2	item	contexto	5	True	Este edital tem por objeto a aquisição de Obras Didáticas ( Categoria 1) e de Obras de Apoio Teórico-Metodológico (Categoria 2), nos termos definidos a seguir.
2.2	2	item	contexto	5	True	A Categoria 1 engloba as coleções didáticas por componente curricular destinadas ao 6º, ao 7º, ao 8º e ao 9º ano do Ensino Fundamental, organizadas em séries, conforme as especificidades de cada componente curricular.
2.2.1	2.2	item	contexto	5	True	As coleções da Categoria 1 devem contemplar, para cada componente curricular, um conjunto de livros/obras destinados ao professor e ao estudante nos formatos impresso e digital. Por formato impresso, entende-se, neste edital, o PDF a ser impresso.
2.2.2	2.2	item	contexto	5	True	As coleções da Categoria 1 devem abranger, para cada componente curricular e para cada ano contemplado, o Livro Impresso do Estudante (L E), o Livro Impresso do Professor (LP), o Livro Digital do Estudante (LDE) e o Livro Digital do Professor (LDP), sendo os dois primeiros em formato PDF (versão a ser impressa) e os dois últimos em formato PDF interativo.
2.2.3	2.2	item	contexto	6	True	Na Categoria 1 , as coleções dos componentes curriculares Língua Portuguesa, Matemática, Ciências da Natureza, História , Geografia, Produção de Textos, Educação Digital e Midiática, Língua Inglesa, Língua Espanhola e Arte são organizadas em 4 séries (6º ano, 7º ano, 8º ano e 9º ano), prevendo- se, para cada ano, um Livro Impresso do Estudante (LE), um Livro Impresso do Professor (LP), um Livro Digital do Estudante (LDE) e um Livro Digital do Professor (LDP). Essa organização deverá ser rigorosamente observada pelos Detentores dos Direitos Autorais, a fim de assegurar a devida submissão ao edital.
2.2.4	2.2	item	contexto	6	True	Na Categoria 1, a coleção do componente curricular Educação Física será composta apenas pelo Livro Impresso do Professor (LP) e pelo Livro Digital do Professor (LDP).
2.2.5	2.2	item	contexto	6	True	As obras didáticas da Categoria 1 serão avaliadas como um conjunto único e indivisível em cada componente curricular, abrangendo todas as séries (6º, 7º, 8º e 9º), não sendo admitida aprovação parcial. A reprovação da obra em qualquer série implica a reprovação de todo o conjunto.
2.2.6	2.2	item	contexto	6	False	O Detentor de Direitos Autorais poderá inscrever coleções em um, em vários ou em todos os componentes curriculares indicados na Categoria 1.
2.2.7	2.2	item	contexto	6	True	A versão submetida à avaliação das obras referentes à Categoria 1 deverá estar descaracterizada.
2.2.8	2.2	item	contexto	6	True	O Livro Impresso do Estudante (LE) e o Livro Impresso do Professor (LP) são de caráter reutilizável (não consumível).
2.3	2	item	contexto	6	True	A Categoria 2 engloba uma única obra de Apoio Teórico-Metodológico – o Livro Digital do Professor (LDP) –, que deve orientar o processo didático para professores e prever objetivos formativos em consonância com os eixos abrangidos por este edital.
2.3.1	2.3	item	contexto	6	True	Para a Categoria 2, será permitida a inscrição de apenas uma obra para cada CNPJ de Detentor de Direitos Autorais.
2.3.2	2.3	item	contexto	6	True	A versão submetida à avaliação das obras referentes à Categoria 2 deverá estar caracterizada.
3.1	3	item	avaliativo_comum	6	True	As Obras Didáticas (Categoria 1) e as Obras de Apoio Teórico-Metodológico (Categoria 2) serão analisadas e avaliadas conforme as determinações deste edital e as especificações constantes dos demais anexos.
