code	parent_code	kind	criterion_type	page_start	mandatory_guess	statement
2.1	2	item	contexto	5	True	Este edital tem por objeto a aquisição de Obras Didáticas (Objeto 1) e Obras de Apoio Teórico- Metodológico (Objeto 2).
2.2	2	item	contexto	5	True	Neste edital, compreende-se coleção como o conjunto da obra, o que inclui seus respectivos volumes.
2.3	2	item	contexto	5	False	O Detentor de Direitos Autorais poderá inscrever coleções em um único, em vários ou em todos os componentes curriculares indicados no Objeto 1, como pretender.
2.4	2	item	contexto	5	True	As Obras Didáticas do Objeto 1 são subdivididas em três categorias independentes.
2.4.1	2.4	item	contexto	5	True	As editoras poderão submeter obra por componentes em ambas as categorias ou em apenas uma delas.
2.4.2	2.4	item	contexto	5	True	A Categoria 1 refere-se às coleções obrigatórias destinadas ao 1º e 2º anos dos Anos Iniciais.
2.4.3	2.4	item	contexto	5	True	A Categoria 2 refere-se às coleções obrigatórias destinadas ao 3º, 4º e 5º anos dos Anos Iniciais.
2.4.4	2.4	item	contexto	5	False	A Categoria 3 refere-se às coleções de escolha optativa destinadas ao 1º, 2º, 3º, 4º e 5º anos dos Anos Iniciais
2.5	2	item	contexto	5	True	As coleções devem abranger os respectivos livros de cada ano contemplado na categoria (ciclo). Portanto, cada coleção é composta do Livro Impresso do Estudante (LIE), do Livro Digital do Estudante (LDE), do Livro Impresso do Professor (LIP) e do Livro Digital do Professor (LDP), exceto a coleção de Educação Física, que é composta apenas por Livro Impresso do Professor (LIP) e Livro Digital do Professor (LDP).
2.6	2	item	contexto	5	True	O Livro Impresso do Estudante (LIE) da Categoria 1 será de caráter consumível, ao passo que o Livro Impresso do Professor (LIP) será reutilizável.
2.7	2	item	contexto	5	True	O Livro Impresso do Estudante (LIE) da Categoria 2 será de caráter reutilizável (não consumível), exceto os de Língua Portuguesa e de Matemática. O Livro Impresso do Professor (LIP) da categoria 2 será reutilizável.
2.10	2	item	contexto	6	False	Na Categoria 3, em conformidade com o Quadro 3, as coleções serão avaliadas por componente curricular e a escolha do material será optativa pelas Redes de Ensino:
2.10.a	2.10	alinea	contexto	6	True	Obra de Língua Inglesa;
2.10.b	2.10	alinea	contexto	6	True	Obra de Língua Espanhola;
2.11	2	item	contexto	6	True	As Obras de Apoio Teórico -Metodológico (Objeto 2) são destinadas aos professores dos Anos Iniciais, e não diretamente aos estudantes.
2.8	2	item	contexto	6	True	O Livro Impresso do Estudante (LIE) da Categoria 3 será de caráter reutilizável (não consumível). O Livro Impresso do Professor (LIP) da categoria 3 será reutilizável.
2.8.1	2.8	item	contexto	6	True	Na Categoria 1, em conformidade com o Quadro 1, as coleções serão avaliadas por componentes curriculares, quais sejam:
2.8.1.a	2.8.1	alinea	contexto	6	True	Obra de Língua Portuguesa;
2.8.1.b	2.8.1	alinea	contexto	6	True	Obra de Arte;
2.8.1.c	2.8.1	alinea	contexto	6	True	Obra de Educação Física;
2.8.1.d	2.8.1	alinea	contexto	6	True	Obra de Matemática;
2.8.1.e	2.8.1	alinea	contexto	6	True	Obra Interdisciplinar de Ciências da Natureza, História e Geografia;
2.8.1.f	2.8.1	alinea	contexto	6	True	Obra de Educação Digital e Midiática.
2.9	2	item	contexto	6	True	Na Categoria 2, em conformidade com o Quadro 2 , as coleções serão avaliadas por componente curricular:
2.9.a	2.9	alinea	contexto	6	True	Obra de Língua Portuguesa;
2.9.b	2.9	alinea	contexto	6	True	Obra de Arte;
2.9.c	2.9	alinea	contexto	6	True	Obra de Educação Física;
2.9.d	2.9	alinea	contexto	6	True	Obra de Matemática;
2.9.e	2.9	alinea	contexto	6	True	Obra de Ciências da Natureza;
2.9.f	2.9	alinea	contexto	6	True	Obra de História;
2.9.g	2.9	alinea	contexto	6	True	Obra de Geografia;
2.9.h	2.9	alinea	contexto	6	True	Livro Regionalizado de História e Geografia;
2.9.i	2.9	alinea	contexto	6	True	Obra de Produção de Texto;
2.9.j	2.9	alinea	contexto	6	True	Obra de Educação Digital e Midiática.
3.1	3	item	avaliativo_comum	6	True	As obras didáticas (Objeto 1) e as obras de apoio teórico-metodológico (Objeto 2) serão analisadas e avaliadas conforme as determinações deste edital e especificações constantes nos demais anexos.
3.2	3	item	avaliativo_comum	6	True	As obras deverão estar alinhadas à legislação, às diretrizes e às normas oficiais relativas aos Anos Iniciais do Ensino Fundamental (1º ao 5º ano).
3.3	3	item	avaliativo_comum	6	True	Os critérios das obras, em termos qualitativos e quantitativos, são de observância obrigatória
3.3.1	3.3	item	avaliativo_comum	6	True	Os critérios quantitativos por componentes são categóricos, e seu cumprimento é obrigatório.
3.3.2	3.3	item	avaliativo_comum	6	True	Obras que não contenham a quantidade mínima de itens requeridos serão desclassificadas do certame e encaminhadas à reprovação.
3.4	3	item	avaliativo_comum	7	True	As obras devem estar alinhadas às exigências contemporâneas e às necessidades educacionais atuais, refletindo a construção dinâmica da cultura e do conhecimento humano, em articulação com a BNCC.
3.5	3	item	avaliativo_comum	7	True	As obras deverão observar as regras gramaticais da língua portuguesa, bem como das línguas estrangeiras, no caso de materiais específicos de Língua Inglesa e de Língua Espanhola.
3.6	3	item	avaliativo_comum	7	True	Para efeitos da análise pedagógica e da atuação da Comissão Técnica, consideram -se também a pertinência pedagógica, a adequação à faixa etária, a proteção integral da criança e do adolescente, bem como o respeito à pluralidade de ideias, à diversidade étnico -cultural, à democracia e às demais legislações vigentes.
3.7	3	item	avaliativo_comum	7	False	Para efeitos de análise pedagógica serão indicadas à reprovação exibição ou propaganda de marcas ou produtos, exceto com a justificada finalidade pedagógica e quando for sugestões de livros, filmes e/ou materiais de apoio à prática educativa.
3.8	3	item	avaliativo_comum	7	True	As obras inscritas devem, obrigatoriamente, cumprir o disposto nos seguintes critérios comuns:
3.8.a	3.8	alinea	avaliativo_comum	7	True	Respeito à legislação, às diretrizes e às normas oficiais relativas aos Anos Iniciais do Ensino Fundamental (1º ao 5º ano);
3.8.b	3.8	alinea	avaliativo_comum	7	True	Correção e atualização de conceitos, informações e procedimentos;
3.8.c	3.8	alinea	avaliativo_comum	7	True	Adequação e pertinência das orientações prestadas ao professor;
3.8.d	3.8	alinea	avaliativo_comum	7	True	Observância às regras gramaticais da língua na qual a obra tenha sido escrita;
3.8.e	3.8	alinea	avaliativo_comum	7	True	Adequação da estrutura editorial e do projeto gráfico aos objetivos pedagógicos da obra;
3.8.f	3.8	alinea	avaliativo_comum	7	True	Observância à abordagem teórico-metodológica sobre o uso responsável e ético das tecnologias e mídias digitais.
3.9	3	item	avaliativo_comum	7	True	As obras inscritas devem, obrigatoriamente, respeitar os preceitos instituídos nos seguintes documentos legais, sem prejuízo de quaisquer outros que tenham pertinência com a educação e a faixa etária a ser atendida ou com direitos humanos
3.9.a	3.9	alinea	avaliativo_comum	7	True	Constituição Federal de 1988;
3.9.b	3.9	alinea	avaliativo_comum	7	True	Lei de Diretrizes e Bases da Educação Nacional - LDB (Lei nº 9.394/1996);
3.9.c	3.9	alinea	avaliativo_comum	7	True	Lei nº 14.533, de 11 de janeiro de 2023, que instituiu a Política Nacional de Educação Digital (PNED);
3.9.d	3.9	alinea	avaliativo_comum	7	True	Estatuto da Criança e do Adolescente - ECA (Lei nº 8.069/1990);
3.9.e	3.9	alinea	avaliativo_comum	7	True	Estatuto da Pessoa com Deficiência (Lei nº 13.146/2015);
3.9.f	3.9	alinea	avaliativo_comum	7	True	Estatuto do Idoso (Lei nº 10.741/2003);
3.9.g	3.9	alinea	avaliativo_comum	7	True	Política Nacional de Educação Ambiental (Lei nº 9.795/1999);
3.9.h	3.9	alinea	avaliativo_comum	7	True	História e Cultura Afro-Brasileira e Indígena (Lei nº 10.639/2003 e Lei nº 11.645/2008);
3.9.i	3.9	alinea	avaliativo_comum	7	True	Lei que dispõe sobre a utilização, por estudantes, de aparelhos eletrônicos portáteis pessoais nos estabelecimentos públicos e privados de ensino da Educação Básica (Lei nº 15.100, de 13 de janeiro de 2025);
3.9.j	3.9	alinea	avaliativo_comum	7	True	Política Nacional de Atenção Integral à Saúde da Criança (Portaria nº 1.130/2015);
3.9.k	3.9	alinea	avaliativo_comum	7	True	Código de Trânsito Brasileiro (Lei nº 9.503/1997);
3.9.l	3.9	alinea	avaliativo_comum	7	True	Decreto nº 7.611/2011, que dispõe sobre o Atendimento Educacional Especializado (AEE);
3.9.m	3.9	alinea	avaliativo_comum	7	True	Diretrizes Curriculares Nacionais Gerais para a Educação Básica (Parecer CNE/CEB nº 7/2010 e Resolução CNE/CEB nº 4/2010);
3.9.n	3.9	alinea	avaliativo_comum	7	True	Diretrizes Curriculares Nacionais para a Educação Ambiental (Resolução CNE/CEB nº 2/2012);
3.9.o	3.9	alinea	avaliativo_comum	7	True	Diretrizes Nacionais para a Educação Escolar Quilombola (Resolução CNE/CEB nº 8/2012);
3.10	3	item	avaliativo_comum	8	True	Em respeito ao arcabouço legal vigente, todas as obras, de forma continuada, interseccional e assertiva, devem atender aos seguintes requisitos:
3.10.a	3.10	alinea	avaliativo_comum	8	True	Estar livres de preconceitos de condição socioeconômica, regional, étnico-racial, gênero, orientação sexual, idade, linguagem, religiosidade, condição de deficiência, assim como de qualquer outra forma de discriminação, violência ou violação de direitos humanos.
3.10.b	3.10	alinea	avaliativo_comum	8	True	Respeitar o caráter laico e autônomo da educação pública.
3.10.c	3.10	alinea	avaliativo_comum	8	True	Destacar a presença de maiorias menorizadas em diferentes esferas sociais e profissionais, promovendo a visibilidade e o protagonismo social de todas as pessoas.
3.10.d	3.10	alinea	avaliativo_comum	8	True	Evidenciar a cultura, a história e a imagem afro -brasileira, quilombola, dos povos indígenas e dos povos do campo, reconhecendo seus saberes, tradições, corpos e modos de organização social, destacando-os nos textos, atividades, fotografias e imagens, sem estigmatizá-los.
3.10.e	3.10	alinea	avaliativo_comum	8	True	Promover práticas de argumentação fundamentadas em dados científicos a respeito dos princípios éticos necessários à construção da cidadania.
3.10.f	3.10	alinea	avaliativo_comum	8	True	Estar isenta de imagens e textos que contenham violência sem a devida justificativa pedagógica (o mesmo se aplica à publicidade, marcas, produtos ou serviços comerciais sem a devida justificativa, conforme disposto no Parecer CNE/CEB nº 15/2000).
3.9.p	3.9	alinea	avaliativo_comum	8	True	Diretrizes Operacionais para a Educação Básica nas Escolas do Campo (Parecer CNE/CEB nº 36/2001, Resolução CNE/CEB nº 1/2002, Parecer CNE/CEB nº 3/2008 e Resolução CNE/CEB nº 2/2008);
3.9.q	3.9	alinea	avaliativo_comum	8	True	Portaria nº 451, de 16 de maio de 2018, que define critérios e procedimentos para a produção, recepção, avaliação e distribuição de recursos educacionais abertos ou gratuitos voltados para a Educação Básica em programas e plataformas oficiais do Ministério da Educação;
3.9.r	3.9	alinea	avaliativo_comum	8	True	Normas sobre Computação na Educação Básica – Complemento à BNCC (Resolução CNE/CE nº 1/2022);
3.9.s	3.9	alinea	avaliativo_comum	8	True	Resolução FNDE nº 11, de 16 de agosto de 2023;
3.9.t	3.9	alinea	avaliativo_comum	8	True	Guia Alimentar para a População Brasileira (Recomendação nº 14/2024/CONSEA/SG/PR);
3.9.u	3.9	alinea	avaliativo_comum	8	True	Parecer sobre a Pertinência do Uso de Imagens Comerciais nos Livros Didáticos (CNE/CEB nº 15/2000);
3.9.v	3.9	alinea	avaliativo_comum	8	True	Guia Sobre Uso de Dispositivos Digitais (Brasil, 2025).
4.1	4	item	avaliativo_objeto	8	True	As obras didáticas devem ser projetadas para garantir que o processo de aprendizagem ocorra de forma contínua e organizada, levando em conta a função do professor como o responsável por organizar as ações pedagógicas e dos estudantes como protagonistas de suas aprendizagens. Nesse contexto, o livro didático é um instrumento cultural que deve mediar a aprendizagem do estudante.
4.2	4	item	avaliativo_objeto	8	True	As obras devem ser avaliadas quanto a sua adequação às diretrizes estabelecidas, com foco na capacidade de organizar experiências que permitam ao estudante mobilizar seus conhecimentos prévios para construir novos significados, sempre articulados à cultura e ao contexto social em que está inserido.
4.2.1	4.2	item	avaliativo_objeto	8	True	As habilidades que contemplam mais de uma série/ano podem ser abordadas apenas uma vez no material da coleção na Categoria.
4.10	4	item	avaliativo_objeto	9	True	As citações literais, paráfrases ou resumos deverão obrigatoriamente vir acompanhados da referência à publicação original, conforme os parâmetros técnicos da ABNT NBR 6023.
4.11	4	item	avaliativo_objeto	9	True	Não serão aceitas obras com lacunas ou espaços que induzam o estudante ou os professores a realizar atividades no próprio livro, exceto se fizerem parte da diagramação da obra ou se tratar de obra de caráter consumível.
4.11.1	4.11	item	avaliativo_objeto	9	True	Ensejará em falha pontual a situação da obra não consumível que contenha lacunas ou espaços que induzam o estudante ou os professores a realizar atividades no próprio livro.
4.11.2	4.11	item	avaliativo_objeto	9	True	A recorrência de que trata a hipótese do item anterior caracterizará, caso avaliada a necessidade de revisão global da obra, na sua reprovação.
4.12	4	item	avaliativo_objeto	9	True	Para efeitos de inscrição e avaliação, as obras deverão ser submetidas de modo descaracterizado, ou seja, sem identificação nominal da editora, sob pena de reprovação.
4.13	4	item	avaliativo_objeto	9	True	São critérios avaliativos a coerência e a adequação da abordagem teórico-metodológica assumida pela obra, no que diz respeito à proposta didático-pedagógica explicitada e aos objetivos visados.
4.13.1	4.13	item	avaliativo_objeto	9	True	As coleções devem ser organizadas em acordo com propostas pedagógicas que superem abordagens sintéticas do processo de alfabetização.
4.2.2	4.2	item	avaliativo_objeto	9	True	No caso de obras de Língua Espanhola, as obras deverão seguir os demais critérios listados neste edital tanto para as versões do Livro do Professor (Impresso e Digital) quanto para as versões do Livro do Estudante (impresso e digital).
4.2.3	4.2	item	avaliativo_objeto	9	True	As habilidades abordadas nos materiais devem se ater àquelas específicas do ano(s)/série(
4.2.3.s	4.2.3	alinea	avaliativo_objeto	9	True	de atendimento da Categoria para a qual a obra estará inscrita.
4.2.4	4.2	item	avaliativo_objeto	9	True	Os volumes das coleções de Língua Portuguesa, da Categoria 1 e da Categoria 2, devem abordar todas as habilidades específicas do ano e do ciclo (1° e 2° nas coleções do ciclo referente à Categoria 1) (3°, 4° e 5° nas coleções do ciclo referente à Categoria 2) de forma integrada com os campos de atuação social.
4.3	4	item	avaliativo_objeto	9	True	As obras devem organizar as atividades de modo que os estudantes utilizem suas experiências sociais e culturais para desenvolver novas competências linguísticas, promovendo uma relação ativa com a linguagem (escrita, leitura, oralidade e escuta).
4.4	4	item	avaliativo_objeto	9	True	A linguagem das obras e as orientações para as atividades devem ser apresentadas de forma a facilitar a compreensão do que está sendo solicitado, de acordo com a faixa etária de crianças dos Anos Iniciais.
4.5	4	item	avaliativo_objeto	9	True	Os Temas Contemporâneos Transversais (TCTs) deverão ser abordados de forma interdisciplinar em todos os volumes com, no mínimo, a abordagem de dois diferentes temas por volume da coleção.
4.6	4	item	avaliativo_objeto	9	True	O conteúdo deve ser organizado de maneira a garantir a clareza e a objetividade necessárias para que as crianças possam se apropriar dos conhecimentos de forma eficaz, sem dispersão de informações ou confusão conceitual entre o que se aprende nos Anos Iniciais e nos Anos Finais.
4.7	4	item	avaliativo_objeto	9	True	Não haverá inscrição de caderno de atividades.
4.8	4	item	avaliativo_objeto	9	True	Em caso de a coleção conter anexos indispensáveis para sua adequada utilização, esses materiais deverão obrigatoriamente fazer parte do corpo da coleção, não podendo constituir volume em separado.
4.9	4	item	avaliativo_objeto	9	True	Poderão ser inscritas coleções didáticas inéditas ou que já participaram de outras edições do PNLD, desde que estejam adequadas às especificações deste edital e às demandas da BNCC previstas para cada área do conhecimento e componente curricular.
4.14	4	item	avaliativo_objeto	10	True	As obras devem respeitar a perspectiva interdisciplinar na apresentação e abordagem dos conteúdos, especialmente nas áreas das Linguagens, das Ciências Humanas e das Ciências da Natureza.
